graphNum,attemptNum,lengthOfPathk=1,lengthOfShortestPath,lengthOfPathk=2,backsteps_SP,backsteps_k=2,shortcutsTakenk=2,shortcutstakenSP
0,0,5,4,6,1,1,0,0
0,1,5,4,6,1,1,0,0
0,0,5,4,6,2,2,0,0
0,1,5,4,6,2,2,0,0
0,0,7,4,7,2,2,0,0
0,1,7,4,7,2,2,0,0
0,0,20,5,8,2,2,0,0
0,1,20,5,8,2,2,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,10,3,8,0,0,0,0
0,1,10,3,8,0,0,0,0
0,0,13,6,9,3,3,0,0
0,1,13,6,12,3,3,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,5,5,5,0,0,0,0
0,1,5,5,5,0,0,0,0
0,0,5,5,5,0,0,0,0
0,1,5,5,5,0,0,0,0
0,0,4,4,4,0,0,0,0
0,1,4,4,4,0,0,0,0
0,0,4,4,4,0,0,0,0
0,1,4,4,4,0,0,0,0
0,0,5,5,5,0,0,0,0
0,1,5,5,5,0,0,0,0
0,0,14,5,12,3,3,0,0
0,1,14,5,12,3,3,0,0
0,0,13,6,9,1,1,0,0
0,1,13,6,9,1,1,0,0
0,0,8,4,8,2,2,0,0
0,1,8,4,8,2,2,0,0
0,0,5,5,6,1,1,0,0
0,1,5,5,6,1,1,0,0
0,0,13,6,9,3,3,0,0
0,1,13,6,9,3,3,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,9,3,5,1,1,0,0
0,1,9,3,5,1,1,0,0
0,0,7,5,9,1,1,0,0
0,1,7,5,9,1,1,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,13,5,7,1,1,0,0
0,1,13,5,7,1,1,0,0
0,0,10,6,10,1,1,0,0
0,1,10,6,10,1,1,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,14,4,7,1,1,0,0
0,1,14,4,7,1,1,0,0
0,0,14,6,6,1,1,0,0
0,1,14,6,6,1,1,0,0
0,0,6,6,6,0,0,0,0
0,1,6,6,6,0,0,0,0
0,0,14,5,8,0,0,0,0
0,1,14,5,8,0,0,0,0
0,0,10,6,6,2,2,0,0
0,1,10,6,6,2,2,0,0
0,0,4,4,4,0,0,0,0
0,1,4,4,4,0,0,0,0
0,0,23,5,5,1,1,0,0
0,1,23,5,5,1,1,0,0
0,0,6,6,9,0,0,0,0
0,1,6,6,9,0,0,0,0
0,0,8,5,8,3,3,0,0
0,1,8,5,8,3,3,0,0
0,0,9,4,5,2,2,0,0
0,1,9,4,5,2,2,0,0
0,0,6,6,6,2,2,0,0
0,1,6,6,6,2,2,0,0
0,0,21,4,6,2,2,0,0
0,1,21,4,6,2,2,0,0
0,0,20,6,16,1,1,0,0
0,1,20,6,16,1,1,0,0
0,0,13,5,13,2,2,0,0
0,1,13,5,13,2,2,0,0
0,0,12,5,14,2,2,0,0
0,1,12,5,14,2,2,0,0
0,0,12,7,12,3,3,0,0
0,1,12,7,12,3,3,0,0
0,0,5,5,5,1,1,0,0
0,1,5,5,5,1,1,0,0
0,0,7,6,7,0,0,0,0
0,1,7,6,7,0,0,0,0
0,0,10,8,10,2,2,0,0
0,1,10,8,10,2,2,0,0
0,0,10,6,7,1,1,0,0
0,1,10,6,7,1,1,0,0
0,0,6,3,6,0,0,0,0
0,1,6,3,6,0,0,0,0
0,0,8,5,8,3,3,0,0
0,1,8,5,8,3,3,0,0
0,0,12,6,8,2,2,0,0
0,1,12,6,8,2,2,0,0
0,0,11,6,10,3,3,0,0
0,1,11,6,10,3,3,0,0
0,0,8,6,6,2,2,0,0
0,1,8,6,6,2,2,0,0
0,0,6,6,6,3,3,0,0
0,1,6,6,6,3,3,0,0
0,0,12,5,6,1,1,0,0
0,1,12,5,6,1,1,0,0
0,0,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0
0,0,12,6,12,3,3,0,0
0,1,12,6,12,3,3,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
